地图、NPC、物品等各常用数据表代号、名字汇总 

--------------------------------------------------------------------------------
 



地图

代号　　地图名称
700010 逆之心情
700011 逆之往事
700012 逆之虚幻
100015 坠泪岗
700014 阳光渔栈
400000 深蓝药铺
400001 深蓝海城
400002 深蓝海底
400003 深度宠物店
400004 宁静客栈
100126 断壁
400006 沉信当铺
400007 海情饰物店
400008 一点点杂货
400009 小小房间
400010 小房间
400011 过道
400012 窄窄的过道
400013 很窄的过道
400014 最后的房间
120004 天关第5层
120003 天关第4层
120002 天关第3层
120001 天关第2层
120000 天关第1层
100073 邂逅洞窟
990000 NPC集中营
100204 雪狼崖
100075 逐影洞窟
100203 雪狼湖
100081 伤心洞窟
100080 不悔洞窟
100074 弄梅洞窟
800004 监狱第五层
300001 瑞天雪城
300000 雪城药店
300002 雪城宠物店
300003 雪城客栈
300004 雪城当铺
300005 雪城城堡
300006 雪城杂货
300007 雪城饰玩店
300008 镜雪原
300009 松雪野
100023 东码头
300011 斧青谷
200065 团P赛场
300013 犁春原
300014 黄泥岗
300015 鸟鸣谷
300016 羊肠道
300017 独木原
300018 春水桥
300019 雪融谷
300020 炊烟谷
300021 敕勒川
300022 敕勒川客栈
300023 敕勒川药店
300024 敕勒川当铺
300025 敕勒川大蓬
300026 迷幻洞窟
300027 神将壁
700007 暮归道
300029 战神台
300030 灵棺台
300031 紫禁城
310020 住宅小区
300033 皇城甬道
300034 大殿
300035 太和殿
100086 吓死人洞窟1
300037 寒井台
300039 玉洁桥
300038 冰清桥
300040 青幽洞
500001 仙客厅
500003 殿廊
500000 殿廊
500006 翔云台
500007 殿廊
500008 紫阳门
500009 殿廊
500010 殿廊
500011 灵丹室
500013 衡天台
500014 降尘台
500015 翔云幻城
500016 盈露台看守区
500017 御风台
500018 仙临台
500019 晋阳门
500020 观云桥
500021 宣武门
500022 圣宴室
500023 空灵园
500024 圣泉台
500025 武神殿
100200 碧水丹心谷
100201 地焰洞
100202 栖月谷
100088 幻灵教堂
100089 幻灵教堂花园
200061 沙漠竞技场
110000 青梅竹马
110001 脉脉含情
110002 金童玉女
110003 郎才女貌
110004 倚门回首嗅青梅
110005 暗香浮动月黄昏
110006 东篱把酒候佳人
110007 一吻定乾坤
110008 孔雀东南飞
110009 相思红豆
110010 为伊消得人憔悴
110011 秋雁南回
110012 琴瑟相悦
110013 比翼双飞
110014 珠联壁合
110015 佳偶天成
110016 如胶似漆
110017 心心相印
110018 地久天长
110019 似水柔情
110020 白头偕老
800000 监狱第一层
800001 监狱第二层
800002 监狱第三层
800003 监狱第四层
100079 宝洞
120005 天关第6层
120006 天关第7层
120007 天关第8层
120008 天关第9层
120009 天关第10层
120010 天关第11层
120011 天关第12层
120012 天关第13层
120013 天关第14层
120014 天关第15层
120015 天关第16层
120016 天关第17层
120017 天关第18层
120018 天关第19层
120019 天关第20层
120020 天关第21层
120021 天关第22层
120022 天关第23层
120023 天关第24层
120024 天关第25层
120025 天关第26层
120026 天关第27层
120027 天关第28层
120028 天关第29层
120029 天关第30层
120030 天关第31层
120031 天关第32层
120032 天关第33层
120033 天关第34层
120034 天关第35层
120035 天关第36层
120036 天关第37层
120037 天关第38层
120038 天关第39层
120039 天关第40层
120040 天关第41层
120041 天关第42层
120042 天关第43层
120043 天关第44层
120044 天关第45层
120045 天关第46层
120046 天关第47层
120047 天关第48层
120048 天关第49层
120049 天关第50层
120050 天关第51层
120051 天关第52层
120052 天关第53层
120053 天关第54层
120054 天关第55层
120055 天关第56层
120056 天关第57层
120057 天关第58层
120058 天关第59层
120059 天关第60层
120060 天关第61层
120061 天关第62层
120062 天关第63层
120063 天关第64层
120064 天关第65层
120065 天关第66层
120066 天关第67层
120067 天关第68层
120068 天关第69层
120069 天关第70层
120070 天关第71层
120071 天关第72层
120072 天关第73层
120073 天关第74层
120074 天关第75层
120075 天关第76层
120076 天关第77层
120077 天关第78层
120078 天关第79层
120079 天关第80层
120080 天关第81层
120081 天关第82层
120082 天关第83层
120083 天关第84层
120084 天关第85层
120085 天关第86层
120086 天关第87层
120087 天关第88层
120088 天关第89层
120089 天关第90层
120090 天关第91层
120091 天关第92层
120092 天关第93层
120093 天关第94层
120094 天关第95层
120095 天关第96层
120096 天关第97层
120097 天关第98层
120098 天关第99层
120099 天关第100层
120100 天关宝洞
600122 魔界之森
310000 正气堂
600111 地狱
310003 香泉阁
310004 双龙厅
310002 玉泉窟
310001 怡情园
310010 家具物品店
100205 时间伤口
100206 时间伤口
900000 天牢1
900001 天牢2
900002 天牢3
100085 万劫谷
100082 紫尘洞
100083 佛音洞
100072 怡心谷
100078 执手洞窟
100084 守候洞窟
100076 浴仙池
310021 中式房屋
310022 西式房屋
310023 阿拉伯房屋
300032 皇城
310013 家庭用品店
310014 家庭用品分店
300028 传说中的英雄冢
310024 湖滨小区
710001 夺宝天关01
710002 夺宝天关02
710003 夺宝天关03
710004 夺宝天关04
710005 夺宝天关05
710006 夺宝天关06
710007 夺宝天关07
710008 夺宝天关08
710009 夺宝天关09
710010 夺宝天关10
710011 夺宝天关11
710012 夺宝天关12
710013 夺宝天关13
710014 夺宝天关14
710015 夺宝天关15
710016 夺宝天关16
710017 夺宝天关17
710018 夺宝天关18
710019 夺宝天关19
710020 夺宝天关20
121000 迷宫
121001 迷宫
121002 迷宫
121003 迷宫
121004 迷宫
121005 迷宫终点
121006 迷宫
121007 迷宫
121008 迷宫
121009 迷宫
121010 迷宫
200099 江湖PK赛场
500101 飘渺仙境
500100 通仙之地
310028 二级南方房屋
310027 二级西式房屋
310026 二级阿拉伯房屋
100207 永志不渝
310029 二级中式房屋
100008 树顶
100048 名剑山庄正院
720001 逆之轮回
130001 兄弟天关第2关
130000 兄弟天关第1关
720002 逆之情结
130002 兄弟天关第3关
130003 兄弟天关第4关
130004 兄弟天关第5关
130005 兄弟天关第6关
130006 兄弟天关第7关
130007 兄弟天关第8关
130008 兄弟天关第9关
130009 兄弟天关第10关
130010 兄弟天关第11关
130011 兄弟天关第12关
130012 兄弟天关第13关
130013 兄弟天关第13关
130014 兄弟天关第15关
130015 兄弟天关第16关
130016 兄弟天关第17关
130017 兄弟天关第18关
130018 兄弟天关第19关
130019 兄弟天关第20关
130020 兄弟天关第21关
130021 兄弟天关第22关
130022 兄弟天关第23关
130023 兄弟天关第24关
130024 兄弟天关第25关
130025 兄弟天关第26关
130026 兄弟天关第27关
130027 兄弟天关第28关
130028 兄弟天关第29关
130029 兄弟天关第30关
130030 兄弟天关第31关
130031 兄弟天关第32关
130032 兄弟天关第33关
130033 兄弟天关第34关
130034 兄弟天关第35关
130035 兄弟天关第36关
130036 兄弟天关第37关
130037 兄弟天关第38关
130038 兄弟天关第39关
130039 兄弟天关第40关
130040 兄弟天关第41关
130041 兄弟天关第42关
130042 兄弟天关第43关
130043 兄弟天关第44关
130044 兄弟天关第45关
130045 兄弟天关第46关
130046 兄弟天关第47关
130047 兄弟天关第48关
130048 兄弟天关第49关
130049 兄弟天关第50关
130050 兄弟情深
140000 新手学堂
140001 新手学堂
140002 新手学堂
140003 新手学堂
100101 山城主建筑
100100 新山城珠宝店
100099 新山城药店
100098 新山城杂货店
100097 新山城客栈
100096 新山城当铺
100095 新山城宠物店
500026 新天空城浮台
100102 山城洞窟1
100103 山城洞窟2
500049 通仙之境
500048 树屋
500047 蓬莱仙境
500046 鸟窝
500045 莲台
500044 飞升门
500043 茶壶楼
500042 仙境
500041 八封台
500040 卧室
500039 石台
500038 平台
500037 喷泉
500036 会议厅
500035 过道2
500034 过道1
500033 大厅
500032 大殿顶楼
500031 大殿1楼
500030 新天空城仓库
500029 新天空城楼房
500028 新天空城室外2
500027 新天空城室外
100094 新山城
500050 西天界
500051 仙界天网
500052 恋之心湖
600019 魔界魔教
600020 魔界入口
600021 魔界塔林
600022 魔界之森
600023 魔界魔音谷
600024 铁索桥
131006 九曲回廊
131007 九曲回廊
131008 九曲回廊
131009 清幽古洞
130051 兄弟天关第52关
130052 兄弟天关第53关
130053 兄弟天关第54关
130054 兄弟天关第55关
130055 兄弟天关第56关
130056 兄弟天关第57关
130057 兄弟天关第58关
130058 兄弟天关第59关
130059 兄弟天关第60关
130060 兄弟天关第61关
130061 兄弟天关第62关
130062 兄弟天关第63关
130063 兄弟天关第64关
130064 兄弟天关第65关
130065 兄弟天关第66关
130066 兄弟天关第67关
130067 兄弟天关第68关
130068 兄弟天关第69关
130069 兄弟天关第70关
130070 兄弟天关第71关
130071 兄弟天关第72关
130072 兄弟天关第73关
130073 兄弟天关第74关
130074 兄弟天关第75关
130075 兄弟天关第76关
130076 兄弟天关第77关
130077 兄弟天关第78关
130078 兄弟天关第79关
130079 兄弟天关第80关
130080 兄弟天关第81关
130081 兄弟天关第82关
130082 兄弟天关第83关
130083 兄弟天关第84关
130084 兄弟天关第85关
130085 兄弟天关第86关
130086 兄弟天关第87关
130087 兄弟天关第88关
130088 兄弟天关第89关
130089 兄弟天关第90关
130090 兄弟天关第91关
130091 兄弟天关第92关
130092 兄弟天关第93关
130093 兄弟天关第94关
130094 兄弟天关第95关
130095 兄弟天关第96关
130096 兄弟天关第97关
130097 兄弟天关第98关
130098 兄弟天关第99关
130099 登云寨总舵
131001 碧野云天
131002 翠竹轩
131003 忘尘谷
131004 玄天阵
150000 宠物乐园1楼
150001 宠物乐园2楼
150002 宠物乐园3楼
150003 宠物乐园4楼
150004 宠物乐园5楼
131011 无量殿
310040 金沙小区
310041 灵心小区
310043 南方房屋
310044 中式房屋
310045 西式房屋
310046 阿拉伯房屋
500055 太极洞
131010 情思坡
200064 PK场
200070 赛场4
200069 赛场3
200068 赛场2
200067 赛场1
720003 高级易容会所
720004 高级易容会所
4300 高老庄
100197 林家客栈
320003 炎炎沙漠
320000 冰封雪地
320001 雪间小舍
400100 深深海
400103 海底皇宫
400102 宁静海
 
NPC

代号  名字  所在地图 坐标X 坐标Y
0018 贺捕头 100001 0101 0088
0019 蔡参将 100001 0031 0088
0539 周梦银 310004 0040 0061
0537 黄老财 310002 0033 0061
0005 钓鱼翁 100023 0053 0065
0039 张三丰 100035 0095 0057
0017 山贼徐志强 100027 0038 0014
0016 山贼 100027 0037 0015
0015 很凶的山贼 100027 0038 0015
0014 客栈MM 200028 0014 0013
0013 客栈MM 100057 0011 0013
0085 饰物店老板 100007 0014 0011
0011 客栈MM 100032 0011 0013
0043 守护幻影兽 500009 0031 0018
0042 仙子MM 500000 0022 0012
0041 天空幻影兽 500000 0026 0013
0040 天空幻影兽 500020 0017 0024
0498 思思 700008 0061 0034
0038 地狱守护MM 100201 0020 0014
0037 沙盗 200024 0017 0022
0036 地狱守护魔女 200055 0043 0059
0035 魔女飞风 600001 0041 0012
0034 魔女飞天 600000 0052 0032
0033 魔女飞云 600000 0044 0021
0032 地狱终极守护MM 600017 0067 0039
0031 地狱守护MM 600016 0033 0010
0030 地狱守护MM 600015 0073 0045
0029 地狱守护MM 600014 0051 0025
0028 地狱守护MM 600013 0071 0047
0027 地狱守护MM 600012 0073 0045
0026 地狱守护MM 600011 0011 0036
0025 地狱守护MM 600010 0045 0073
0024 地狱守护MM 600009 0071 0043
0023 地狱守护MM 600008 0072 0044
0022 地狱守护MM 600007 0042 0033
0021 地狱守护MM 600006 0057 0060
0020 地狱守护MM 600000 0044 0072
0474 努努鸟 700005 0047 0039
0457 齐啸天 100002 0042 0048
0044 天堂守护MM 500025 0022 0039
0045 天堂守护MM 500025 0044 0039
0046 天堂守护MM 500025 0022 0027
0047 天堂守护MM 500025 0043 0027
0048 天堂守护MM 500025 0025 0023
0049 天堂守护MM 500025 0041 0023
0050 天堂守护MM 500023 0056 0042
0051 天堂守护MM 500023 0056 0070
0052 天堂守护MM 500023 0095 0070
0053 天堂守护MM 500023 0095 0054
0054 天堂守护MM 500023 0041 0028
0055 天堂守护MM 500023 0052 0028
0056 幻影兽小白 500007 0017 0014
0057 魔女飞纷 600002 0057 0031
0538 黄百万 310003 0036 0049
0270 天关守护兽 120003 0024 0013
0664 华凝远 100036 0011 0008
500103 鸡翔如意礼箱 800005 0016 0036
0671 药王 100002 0027 0035
0063 小枫 200050 0026 0011
0555 陈大人 300035 0032 0020
500101 鸡翔如意礼箱 800005 0016 0034
0550 魏无崖 700011 0064 0038
0522 吴大人 300035 0020 0020
0084 护士MM 100006 0017 0014
0264 可儿 100202 0028 0040
0074 铁匠 100001 0075 0042
0075 大夫 100000 0017 0012
0088 护士MM 200000 0015 0017
0077 饰物店老板 100034 0015 0012
0078 铁匠 100002 0031 0062
0079 大夫 100059 0017 0012
0072 小仙 200025 0011 0017
0081 饰物店老板 100060 0014 0012
0083 大夫 100006 0017 0012
0082 铁匠 100003 0043 0055
0076 护士MM 100000 0017 0015
0012 客栈MM 100005 0011 0013
0086 铁匠 200001 0035 0027
0087 大夫 200000 0013 0012
0080 护士MM 100059 0017 0015
0089 饰物店老板 200030 0012 0015
0093 护士MM 400000 0022 0018
0092 大夫 400000 0018 0025
0091 护士MM 300000 0014 0017
0090 大夫 300000 0020 0016
0128 强盗白强 300014 0026 0050
0561 古董绣床 310010 0034 0067
0097 魔女飞雪 600011 0045 0033
0006 蕊儿 100003 0038 0010
0127 巫将军 300031 0070 0055
0102 秘密商人李富贵 100017 0038 0020
0103 秘密商人王富贵 100003 0104 0071
0104 秘密商人朱富贵 200020 0012 0023
0002 小云 100001 0022 0054
0096 贤者 100001 0068 0077
0099 PK场管理员 200061 0014 0033
0219 百战天尊 100081 0034 0062
0167 天关守护兽 110019 0030 0008
0165 天关守护兽 110018 0030 0008
0163 天关守护兽 110017 0030 0008
0161 天关守护兽 110016 0030 0008
0159 天关守护兽 110015 0030 0008
0157 天关守护兽 110014 0030 0008
0155 天关守护兽 110013 0030 0008
0153 天关守护兽 110012 0030 0008
0151 天关守护兽 110011 0030 0008
0149 天关守护兽 110010 0030 0008
0147 天关守护兽 110009 0030 0008
0145 天关守护兽 110008 0030 0008
0143 天关守护兽 110007 0030 0008
0141 天关守护兽 110006 0030 0008
0139 天关守护兽 110005 0030 0008
0137 天关守护兽 110004 0030 0008
0135 天关守护兽 110003 0030 0008
0133 天关守护兽 110002 0030 0008
0131 天关守护兽 110001 0030 0008
0173 小鸭的宝箱 110020 0028 0026
0172 小猴的宝箱 110020 0034 0031
0171 小蚁的宝箱 110020 0029 0033
0170 很沉的宝箱 110020 0025 0025
0169 小蝶的宝箱 110020 0029 0021
0168 宝箱 110019 0034 0008
0166 宝箱 110018 0034 0008
0164 宝箱 110017 0034 0008
0162 宝箱 110016 0034 0008
0160 宝箱 110015 0034 0008
0158 宝箱 110014 0034 0008
0156 宝箱 110013 0034 0008
0154 宝箱 110012 0034 0008
0152 宝箱 110011 0034 0008
0150 宝箱 110010 0034 0008
0148 宝箱 110009 0034 0008
0146 宝箱 110008 0034 0008
0144 宝箱 110007 0034 0008
0142 宝箱 110006 0034 0008
0140 宝箱 110005 0034 0008
0138 宝箱 110004 0034 0008
0136 宝箱 110003 0034 0008
0134 宝箱 110002 0034 0008
0132 宝箱 110001 0034 0008
0130 天关守护兽 110000 0030 0008
0174 林天 100002 0005 0044
0175 捕快 200061 0035 0074
0176 捕快 200061 0039 0078
0177 捕快 200061 0080 0041
0178 捕快 200061 0075 0036
0179 捕快 200061 0082 0076
0180 林捕头 200061 0079 0079
0181 李参将 200061 0023 0022
0182 黄参将 200061 0026 0019
0100 李拳师 200001 0074 0046
0220 地狱天使 100074 0018 0022
0686 魅影 100084 0029 0052
0192 百战天尊 100073 0029 0014
0217 青云仙子 500001 0016 0027
0218 地狱飞龙 600016 0049 0037
0183 监狱守卫 800000 0010 0057
0184 宋捕快 100001 0032 0037
0185 监狱守卫 800002 0042 0017
0186 监狱守卫 800002 0013 0024
0187 监狱守卫 800002 0040 0029
0188 监狱守卫 800003 0021 0069
0189 监狱守卫 800003 0051 0008
0190 监狱守卫 800004 0043 0019
0205 百战天尊 100081 0061 0039
0206 百战天尊 100081 0052 0041
0207 百战天尊 100081 0012 0031
0208 百战天尊 100081 0037 0031
0209 百战天尊 100075 0049 0041
0210 百战天尊 100075 0059 0039
0211 百战天尊 100075 0053 0026
0212 百战天尊 100075 0043 0023
0213 百战天尊 100078 0022 0040
0214 百战天尊 100078 0028 0031
0215 百战天尊 100078 0033 0024
0216 百战天尊 100078 0044 0025
0193 地狱天使 100074 0015 0037
0194 地狱天使 100074 0017 0040
0195 地狱天使 100074 0018 0046
0196 地狱天使 100074 0032 0058
0197 地狱天使 100080 0023 0026
0198 地狱天使 100080 0021 0030
0199 地狱天使 100080 0013 0029
0200 地狱天使 100080 0009 0033
0201 地狱天使 100084 0031 0023
0202 地狱天使 100084 0062 0040
0203 地狱天使 100084 0062 0046
0204 地狱天使 100084 0025 0036
0224 百战天尊 100075 0023 0015
0221 地狱天使 100074 0057 0044
0222 百战天尊 100081 0036 0008
0223 地狱天使 100080 0045 0073
0260 监狱长 990000 0026 0030
0261 林参将 990000 0026 0028
0262 陈参将 990000 0027 0026
0255 捕快 990000 0025 0025
0256 捕快 990000 0027 0023
0257 赵参将 990000 0028 0021
0258 张参将 990000 0029 0021
0073 小红 200025 0021 0017
0259 宝洞守护兽 990000 0024 0030
0225 宝箱 100079 0016 0040
0226 宝箱 100079 0016 0036
0227 宝箱 100079 0033 0033
0228 宝箱 100079 0033 0017
0229 宝箱 100079 0063 0041
0230 宝箱 100079 0019 0043
0231 宝箱 100079 0023 0038
0232 宝箱 100079 0037 0032
0233 宝箱 100079 0037 0014
0234 宝箱 100079 0063 0044
0266 雷鸣 990000 0030 0031
0068 小白 300002 0020 0022
0265 常枫 300039 0040 0020
0368 宝光 990000 0029 0028
0067 花花 300002 0023 0011
0458 唐傲 100001 0117 0075
0066 小黑 300002 0017 0011
0287 天关守护兽 120020 0024 0013
0288 天关守护兽 120021 0024 0013
0289 天关守护兽 120022 0024 0013
0290 天关守护兽 120023 0024 0013
0291 天关守护兽 120024 0024 0013
0292 天关守护兽 120025 0024 0013
0293 天关守护兽 120026 0024 0013
0294 天关守护兽 120027 0024 0013
0295 天关守护兽 120028 0024 0013
0296 天关守护兽 120029 0024 0013
0297 天关守护兽 120030 0024 0013
0298 天关守护兽 120031 0024 0013
0299 天关守护兽 120032 0024 0013
0300 天关守护兽 120033 0024 0013
0301 天关守护兽 120034 0024 0013
0302 天关守护兽 120035 0024 0013
0303 天关守护兽 120036 0024 0013
0304 天关守护兽 120037 0024 0013
0305 天关守护兽 120038 0024 0013
0306 天关守护兽 120039 0024 0013
0307 天关守护兽 120040 0024 0013
0308 天关守护兽 120041 0024 0013
0309 天关守护兽 120042 0024 0013
0310 天关守护兽 120043 0024 0013
0311 天关守护兽 120044 0024 0013
0312 天关守护兽 120045 0024 0013
0313 天关守护兽 120046 0024 0013
0314 天关守护兽 120047 0024 0013
0315 天关守护兽 120048 0024 0013
0316 天关守护兽 120049 0024 0013
0317 天关守护兽 120050 0024 0013
0318 天关守护兽 120051 0024 0013
0319 天关守护兽 120052 0024 0013
0320 天关守护兽 120053 0024 0013
0321 天关守护兽 120054 0024 0013
0322 天关守护兽 120055 0024 0013
0323 天关守护兽 120056 0024 0013
0324 天关守护兽 120057 0024 0013
0325 天关守护兽 120058 0024 0013
0369 宝箱 120020 0027 0011
0370 宝箱 120021 0027 0011
0371 宝箱 120022 0027 0011
0372 宝箱 120023 0027 0011
0373 宝箱 120024 0027 0011
0374 宝箱 120025 0027 0011
0375 宝箱 120026 0027 0011
0376 宝箱 120027 0027 0011
0377 宝箱 120028 0027 0011
0378 宝箱 120029 0027 0011
0379 宝箱 120030 0027 0011
0380 宝箱 120031 0027 0011
0381 宝箱 120032 0027 0011
0382 宝箱 120033 0027 0011
0383 宝箱 120034 0027 0011
0384 宝箱 120035 0027 0011
0385 宝箱 120036 0027 0011
0386 宝箱 120037 0027 0011
0387 宝箱 120038 0027 0011
0389 宝箱 120040 0027 0011
0390 宝箱 120041 0027 0011
0391 宝箱 120042 0027 0011
0392 宝箱 120043 0027 0011
0393 宝箱 120044 0027 0011
0394 宝箱 120045 0027 0011
0395 宝箱 120046 0027 0011
0396 宝箱 120047 0027 0011
0397 宝箱 120048 0027 0011
0398 宝箱 120049 0027 0011
0399 宝箱 120050 0027 0011
0400 宝箱 120051 0027 0011
0401 宝箱 120052 0027 0011
0402 宝箱 120053 0027 0011
0403 宝箱 120054 0027 0011
0404 宝箱 120055 0027 0011
0405 宝箱 120056 0027 0011
0406 宝箱 120057 0027 0011
0407 宝箱 120058 0027 0011
0409 宝箱 120060 0027 0011
0410 宝箱 120061 0027 0011
0411 宝箱 120062 0027 0011
0412 宝箱 120063 0027 0011
0413 宝箱 120064 0027 0011
0414 宝箱 120065 0027 0011
0415 宝箱 120066 0027 0011
0416 宝箱 120067 0027 0011
0417 宝箱 120068 0027 0011
0418 宝箱 120069 0027 0011
0419 宝箱 120070 0027 0011
0420 宝箱 120071 0027 0011
0421 宝箱 120072 0027 0011
0422 宝箱 120073 0027 0011
0423 宝箱 120074 0027 0011
0424 宝箱 120075 0027 0011
0425 宝箱 120076 0027 0011
0426 宝箱 120077 0027 0011
0427 宝箱 120078 0027 0011
0429 宝箱 120080 0027 0011
0430 宝箱 120081 0027 0011
0431 宝箱 120082 0027 0011
0432 宝箱 120083 0027 0011
0433 宝箱 120084 0027 0011
0434 宝箱 120085 0027 0011
0435 宝箱 120086 0027 0011
0436 宝箱 120087 0027 0011
0437 宝箱 120088 0027 0011
0438 宝箱 120089 0027 0011
0439 宝箱 120090 0027 0011
0440 宝箱 120091 0027 0011
0441 宝箱 120092 0027 0011
0442 宝箱 120093 0027 0011
0443 宝箱 120094 0027 0011
0444 宝箱 120095 0027 0011
0445 宝箱 120096 0027 0011
0446 宝箱 120097 0027 0011
0447 宝箱 120098 0027 0011
0448 宝箱 120099 0027 0011
0449 宝箱 120039 0027 0011
0450 宝箱 990000 0033 0026
0451 宝箱 990000 0032 0032
0452 宝箱 990000 0032 0029
0453 天关MM 120049 0042 0019
0454 宝箱 120059 0027 0011
0455 宝箱 120079 0027 0011
0456 宝箱 120100 0027 0011
0326 天关守护兽 120059 0024 0013
0327 天关守护兽 120060 0024 0013
0328 天关守护兽 120061 0024 0013
0329 天关守护兽 120062 0024 0013
0330 天关守护兽 120063 0024 0013
0331 天关守护兽 120064 0024 0013
0332 天关守护兽 120065 0024 0013
0333 天关守护兽 120066 0024 0013
0334 天关守护兽 120067 0024 0013
0335 天关守护兽 120068 0024 0013
0336 天关守护兽 120069 0024 0013
0337 天关守护兽 120070 0024 0013
0338 天关守护兽 120071 0024 0013
0339 天关守护兽 120072 0024 0013
0340 天关守护兽 120073 0024 0013
0341 天关守护兽 120074 0024 0013
0342 天关守护兽 120075 0024 0013
0343 天关守护兽 120076 0024 0013
0344 天关守护兽 120077 0024 0013
0345 天关守护兽 120078 0024 0013
0346 天关守护兽 120079 0024 0013
0347 天关守护兽 120080 0024 0013
0348 天关守护兽 120081 0024 0013
0349 天关守护兽 120082 0024 0013
0350 天关守护兽 120083 0024 0013
0351 天关守护兽 120084 0024 0013
0352 天关守护兽 120085 0024 0013
0353 天关守护兽 120086 0024 0013
0354 天关守护兽 120087 0024 0013
0355 天关守护兽 120088 0024 0013
0356 天关守护兽 120089 0024 0013
0357 天关守护兽 120090 0024 0013
0358 天关守护兽 120091 0024 0013
0359 天关守护兽 120092 0024 0013
0360 天关守护兽 120093 0024 0013
0361 天关守护兽 120094 0024 0013
0362 天关守护兽 120095 0024 0013
0363 天关守护兽 120096 0024 0013
0364 天关守护兽 120097 0024 0013
0365 天关守护兽 120098 0024 0013
0366 天关守护兽 120099 0024 0013
0267 天关守护兽 120000 0024 0013
0268 天关守护兽 120001 0024 0013
0269 天关守护兽 120002 0024 0013
0009 张一丁 100048 0050 0083
0271 天关守护兽 120004 0024 0013
0272 天关守护兽 120005 0024 0013
0273 天关守护兽 120006 0024 0013
0274 天关守护兽 120007 0024 0013
0275 天关守护兽 120008 0024 0013
0276 天关守护兽 120009 0024 0013
0277 天关守护兽 120010 0024 0013
0278 天关守护兽 120011 0024 0013
0279 天关守护兽 120012 0024 0013
0280 天关守护兽 120013 0024 0013
0281 天关守护兽 120014 0024 0013
0282 天关守护兽 120015 0024 0013
0283 天关守护兽 120016 0024 0013
0284 天关守护兽 120017 0024 0013
0285 天关守护兽 120018 0024 0013
0286 天关守护兽 120019 0024 0013
0464 中刀 300018 0036 0040
0465 蒙蒙 200058 0062 0048
0513 小叮咚 500008 0042 0023
0468 欧欧 300017 0040 0028
0467 硬骨鳄 100023 0034 0018
0990 阿拉伯二级房屋 310024 0059 0084
0507 橡皮鼠 500006 0053 0031
0462 阿泰 200057 0059 0028
0461 蓝牙 700009 0054 0040
0475 飞羽 100012 0039 0045
0367 高阳酒徒 200013 0039 0024
0478 霹雳 200017 0032 0006
